,user_id,breq_amotivation,breq_external_regulation,breq_introjected_regulation,breq_identified_regulation,breq_intrinsic_regulation,breq_self_determination,positive_affect_score,negative_affect_score,agreeableness,conscientiousness,stability,intellect,stai_stress,stai_stress_category,ttm_consciousness_raising,ttm_dramatic_relief,ttm_environmental_reevaluation,ttm_self_reevaluation,ttm_social_liberation,ttm_counterconditioning,ttm_helping_relationships,ttm_reinforcement_management,ttm_self_liberation,ttm_stimulus_control
0,621e2e8e67b776a24055b564,1.0,1.0,1.3333333333333335,3.5,4.125,intrinsic_regulation,36.0,12.4,33.0,45.0,42.0,40.0,47.4,Below average,1.3333333333333333,2.6666666666666665,2.333333333333333,4.333333333333333,4.0,4.0,4.0,4.0,4.0,1.6666666666666667
1,621e2eaf67b776a2406b14ac,1.125,1.125,2.0,4.25,3.625,identified_regulation,28.666666666666668,20.333333333333332,45.0,30.0,18.0,41.0,42.5,Below average,3.5,2.5,4.166666666666666,4.5,3.6666666666666665,2.0,3.0,4.333333333333333,3.333333333333333,2.0
2,621e2ed667b776a24085d8d1,1.875,1.75,2.6666666666666665,2.5,1.75,introjected_regulation,29.2,24.4,43.0,22.0,28.0,34.0,50.8,Average,1.3333333333333335,2.1666666666666665,3.5,3.333333333333333,3.5,1.1666666666666665,1.0,2.833333333333333,2.0,1.3333333333333335
3,621e2f1b67b776a240b3d87c,0.0,0.0,0.0,0.0,0.0,undefined,0.0,0.0,0.0,0.0,0.0,0.0,52.666666666666664,Above average,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,621e2f3967b776a240c654db,1.0,2.0,1.0,2.5,3.0,intrinsic_regulation,29.0,19.666666666666668,34.0,30.0,39.0,37.0,49.0,Below average,2.0,2.0,2.6666666666666665,4.0,5.0,2.333333333333333,2.0,3.0,2.333333333333333,2.0
5,621e2f6167b776a240e082a9,1.0,1.375,3.1666666666666665,4.875,4.75,identified_regulation,24.428571428571427,24.571428571428573,41.0,30.0,34.0,30.0,46.285714285714285,Below average,2.5,4.166666666666667,2.833333333333333,5.0,2.5,2.1666666666666665,2.333333333333333,4.5,4.666666666666667,3.833333333333333
6,621e2f7a67b776a240f14425,1.0,1.1666666666666667,1.111111111111111,3.4166666666666665,3.6666666666666665,intrinsic_regulation,35.333333333333336,17.88888888888889,38.0,43.0,39.0,35.0,41.333333333333336,Below average,2.0,1.5,2.0,4.666666666666666,2.333333333333333,3.333333333333333,1.3333333333333335,4.5,3.1666666666666665,2.1666666666666665
7,621e2f9167b776a240011ccb,1.0,1.0,4.166666666666666,4.0,5.0,intrinsic_regulation,39.0,33.4,45.0,31.0,18.0,39.0,54.6,Above average,3.333333333333333,2.833333333333333,1.8333333333333335,4.833333333333334,2.1666666666666665,1.6666666666666667,1.8333333333333335,4.833333333333334,3.5,4.166666666666666
8,621e2fb367b776a24015accd,1.125,1.625,3.1666666666666665,3.25,3.375,intrinsic_regulation,31.0,19.125,36.0,29.0,27.0,41.0,46.375,Average,1.8333333333333335,2.333333333333333,2.333333333333333,3.833333333333333,3.5,3.333333333333333,4.0,3.833333333333333,3.833333333333333,2.6666666666666665
9,621e2fce67b776a240279baa,1.0,2.5,3.0,2.5,4.5,intrinsic_regulation,26.4,17.6,42.0,35.0,27.0,35.0,51.666666666666664,Above average,2.6666666666666665,2.6666666666666665,2.833333333333333,4.5,4.5,1.3333333333333333,3.1666666666666665,3.833333333333333,2.333333333333333,2.6666666666666665
10,621e2ff067b776a2403eb737,1.125,1.625,2.0,2.5,2.75,identified_regulation,19.25,22.5,44.0,23.0,11.0,30.0,34.75,Below average,1.0,2.333333333333333,4.0,3.5,3.1666666666666665,1.8333333333333335,3.1666666666666665,3.1666666666666665,4.0,1.6666666666666667
11,621e300767b776a2404dc717,1.0,1.75,2.0,2.75,2.75,intrinsic_regulation,30.4,21.4,0.0,0.0,0.0,0.0,52.4,Average,2.0,2.1666666666666665,2.6666666666666665,3.1666666666666665,2.333333333333333,2.333333333333333,2.1666666666666665,2.833333333333333,2.5,1.833333333333333
12,621e301367b776a24057738e,1.0,1.25,3.0,4.5,4.0,identified_regulation,31.666666666666668,16.5,36.0,31.0,39.0,36.0,52.0,Above average,2.1666666666666665,3.333333333333333,3.333333333333333,4.333333333333334,3.5,3.833333333333333,2.333333333333333,4.166666666666666,3.833333333333333,3.1666666666666665
13,621e301e67b776a240608a72,1.0833333333333333,1.1666666666666667,2.3333333333333335,4.5,4.75,intrinsic_regulation,37.2,27.4,44.0,40.0,19.0,35.0,50.4,Above average,3.5555555555555554,2.444444444444444,1.8888888888888886,4.444444444444445,3.888888888888889,3.888888888888889,4.222222222222222,4.666666666666667,4.333333333333333,3.5555555555555554
14,621e30c867b776a240d4aa6c,1.0,1.5,3.1666666666666665,4.75,5.0,intrinsic_regulation,42.285714285714285,19.142857142857142,40.0,26.0,24.0,39.0,46.42857142857143,Below average,2.333333333333333,2.5,3.333333333333333,5.0,4.5,3.6666666666666665,2.0,5.0,3.833333333333333,2.0
15,621e30e267b776a240e5bf90,2.0,1.625,1.6666666666666665,3.0,3.625,identified_regulation,28.875,20.375,42.0,27.0,33.0,35.0,53.125,Above average,2.5,1.5,1.5,4.333333333333334,3.6666666666666665,1.5,2.833333333333333,3.833333333333333,2.6666666666666665,1.6666666666666667
16,621e30e467b776a240e817c7,1.0,1.5,3.833333333333333,4.375,2.875,introjected_regulation,28.75,26.25,20.0,22.0,13.0,27.0,50.166666666666664,Above average,2.5,4.0,4.5,3.833333333333333,3.0,2.333333333333333,1.6666666666666667,3.6666666666666665,3.5,2.1666666666666665
17,621e30f467b776a240f22944,1.0,1.75,3.333333333333333,3.5,3.25,identified_regulation,0.0,0.0,40.0,34.0,29.0,36.0,0.0,undefined,2.333333333333333,3.6666666666666665,3.0,4.0,4.0,3.333333333333333,1.6666666666666667,4.0,3.6666666666666665,3.6666666666666665
18,621e310d67b776a24003096d,1.0,1.25,4.0,4.5,4.5,identified_regulation,28.666666666666668,24.0,48.0,31.0,30.0,41.0,48.0,Below average,2.833333333333333,3.833333333333333,3.1666666666666665,4.833333333333334,3.833333333333333,3.5,2.1666666666666665,4.666666666666666,4.666666666666666,3.333333333333333
19,621e312a67b776a240164d59,2.25,2.375,3.333333333333333,3.125,3.25,introjected_regulation,31.0,31.5,33.0,40.0,30.0,33.0,55.714285714285715,Above average,1.8333333333333335,3.333333333333333,3.8333333333333335,3.833333333333333,4.166666666666666,2.5,2.333333333333333,3.666666666666667,3.333333333333333,2.5
