user_id,month,phenotype_score
621e32af67b776a24045b4cf,May,0.48417721518987344
621e32af67b776a24045b4cf,June,0.5960317460317461
621e32af67b776a24045b4cf,July,0.4763694638694639
621e337667b776a240ce78ab,May,0.6728070175438596
621e337667b776a240ce78ab,June,0.5594947735191638
621e337667b776a240ce78ab,July,0.5759408602150538
621e337667b776a240ce78ab,August,0.7460978835978835
621e337667b776a240ce78ab,September,0.75
621e33b067b776a240f39e56,May,0.5708803258145363
621e33b067b776a240f39e56,June,0.5469264069264069
621e33b067b776a240f39e56,July,0.6736713922899056
621e33b067b776a240f39e56,August,0.75
621e375b67b776a240290cdc,May,0.7084627329192547
621e375b67b776a240290cdc,June,0.7777777777777778
621e375b67b776a240290cdc,July,0.7143181818181819
621e375b67b776a240290cdc,August,0.75
621e2e8e67b776a24055b564,May,0.6496153846153846
621e2e8e67b776a24055b564,June,0.6458333333333333
621e2e8e67b776a24055b564,July,0.7214565841802917
621e2e8e67b776a24055b564,August,0.75
621e2fce67b776a240279baa,May,0.6549512987012988
621e2fce67b776a240279baa,June,0.48742616033755276
621e2fce67b776a240279baa,July,0.5993317027799787
621e326767b776a24012e179,May,0.7875000000000001
621e326767b776a24012e179,June,0.6635021097046414
621e326767b776a24012e179,July,0.627490980475382
621e326767b776a24012e179,August,0.75
621e2f3967b776a240c654db,May,0.5816885964912281
621e2f3967b776a240c654db,June,0.6867816091954023
621e2f3967b776a240c654db,July,0.6739135304659498
621e2f3967b776a240c654db,August,0.75
621e329067b776a2402ffad2,May,0.49022058823529413
621e329067b776a2402ffad2,June,0.552265043948614
621e329067b776a2402ffad2,July,0.6894524617996605
621e329067b776a2402ffad2,August,0.75
621e333967b776a240a3cd06,October,0.7639880952380952
621e333967b776a240a3cd06,November,0.7350044563279858
621e333967b776a240a3cd06,December,0.7340628672150411
621e333967b776a240a3cd06,January,0.8033645276292335
621e339967b776a240e502de,October,0.75
621e339967b776a240e502de,November,0.7288812785388128
621e339967b776a240e502de,December,0.7762269277212351
621e339967b776a240e502de,January,0.773157894736842
621e32e667b776a2406d2f1c,October,0.7854109589041096
621e32e667b776a2406d2f1c,November,0.7016666666666667
621e32e667b776a2406d2f1c,December,0.7098173515981735
621e32e667b776a2406d2f1c,January,0.7732721046077211
621e2eaf67b776a2406b14ac,October,0.75
621e2eaf67b776a2406b14ac,November,0.817889317889318
621e2eaf67b776a2406b14ac,December,0.7819092827004219
621e2eaf67b776a2406b14ac,January,0.6563568010936432
621e33cf67b776a240087de9,November,0.7390135188087774
621e33cf67b776a240087de9,December,0.5791788856304986
621e33cf67b776a240087de9,January,0.6030788433534429
621e366567b776a24076a727,November,0.7059576023391814
621e366567b776a24076a727,December,0.6841824543437446
621e366567b776a24076a727,January,0.5950568181818181
621e30b267b776a240c5e13f,November,0.8143251135626217
621e30b267b776a240c5e13f,December,0.7861111111111111
621e30b267b776a240c5e13f,January,0.7957236842105263
